"filename", "language", "Python", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\bg.js", "JavaScript", 0, -41, 0, 0, -1, -9, -51
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\bn.js", "JavaScript", 0, -36, 0, 0, -1, -8, -45
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\bs.js", "JavaScript", 0, -46, 0, 0, -1, -12, -59
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ca.js", "JavaScript", 0, -46, 0, 0, -1, -9, -56
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\cs.js", "JavaScript", 0, -60, 0, 0, -1, -4, -65
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\da.js", "JavaScript", 0, -34, 0, 0, -1, -4, -39
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\de.js", "JavaScript", 0, -35, 0, 0, -1, -6, -42
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\dsb.js", "JavaScript", 0, -46, 0, 0, -2, -5, -53
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\el.js", "JavaScript", 0, -46, 0, 0, -1, -8, -55
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\en.js", "JavaScript", 0, -45, 0, 0, -1, -8, -54
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\eo.js", "JavaScript", 0, -43, 0, 0, -1, -8, -52
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\es.js", "JavaScript", 0, -46, 0, 0, -1, -9, -56
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\et.js", "JavaScript", 0, -44, 0, 0, -1, -12, -57
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\eu.js", "JavaScript", 0, -45, 0, 0, -1, -9, -55
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\fa.js", "JavaScript", 0, -33, 0, 0, -3, -6, -42
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\fi.js", "JavaScript", 0, -30, 0, 0, -1, -3, -34
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\fr.js", "JavaScript", 0, -36, 0, 0, -1, -3, -40
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\gl.js", "JavaScript", 0, -39, 0, 0, -1, -2, -42
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\he.js", "JavaScript", 0, -49, 0, 0, -1, -10, -60
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\hi.js", "JavaScript", 0, -36, 0, 0, -1, -6, -43
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\hr.js", "JavaScript", 0, -41, 0, 0, -1, -6, -48
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\hsb.js", "JavaScript", 0, -46, 0, 0, -2, -5, -53
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\hu.js", "JavaScript", 0, -36, 0, 0, -1, -3, -40
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\hy.js", "JavaScript", 0, -35, 0, 0, -1, -6, -42
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\id.js", "JavaScript", 0, -30, 0, 0, -1, -3, -34
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\is.js", "JavaScript", 0, -36, 0, 0, -1, -8, -45
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\it.js", "JavaScript", 0, -43, 0, 0, -1, -8, -52
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ja.js", "JavaScript", 0, -33, 0, 0, -1, -6, -40
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ka.js", "JavaScript", 0, -34, 0, 0, -1, -6, -41
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\km.js", "JavaScript", 0, -33, 0, 0, -1, -6, -40
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ko.js", "JavaScript", 0, -33, 0, 0, -1, -6, -40
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\lt.js", "JavaScript", 0, -44, 0, 0, -2, -10, -56
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\lv.js", "JavaScript", 0, -42, 0, 0, -1, -12, -55
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\mk.js", "JavaScript", 0, -41, 0, 0, -1, -9, -51
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ms.js", "JavaScript", 0, -30, 0, 0, -1, -2, -33
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\nb.js", "JavaScript", 0, -30, 0, 0, -1, -3, -34
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ne.js", "JavaScript", 0, -39, 0, 0, -1, -8, -48
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\nl.js", "JavaScript", 0, -39, 0, 0, -1, -7, -47
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\pa.js", "JavaScript", 0, -41, 0, 0, -5, -10, -56
